Team,Cumulative_Win_Percentage
Connecticut,44.269536942243576
Purdue,43.75393205881119
Illinois,40.60379308462143
North Carolina,40.50015503168106
Auburn,40.20666819810867
Arizona,40.12727862596512
Houston,39.83688463270664
Duke,39.0125952064991
Wisconsin,38.47904857993126
Kentucky,38.46598419547081
Tennessee,38.33246985077858
Baylor,38.28982624411583
Alabama,37.83525937795639
Marquette,37.81886115670204
Creighton,37.75282198190689
Clemson,37.29399502277374
Florida,36.915651708841324
Colorado,36.427159786224365
Gonzaga,36.066759288311005
North Carolina St.,36.00889280438423
Texas,36.002746760845184
UAB,35.93587884306908
New Mexico,35.905675023794174
Grand Canyon,35.62452685832977
Saint Mary's,35.597096145153046
BYU,35.40915110707283
Iowa St.,35.27002754807472
Texas A&M,35.19450396299362
Mississippi St.,34.95126008987427
Washington St.,34.69086118042469
Northwestern,34.65397806465626
Texas Tech,34.49673441052437
South Carolina,34.32254660129547
Kansas,34.31733591854572
San Diego St.,34.019010096788406
TCU,33.8777766674757
Dayton,33.78005929291248
Florida Atlantic,33.77996361255646
Oregon,33.7571167498827
Boise St.,33.55325682461262
Nevada,33.408903896808624
Colorado St.,33.060647904872894
McNeese St.,32.770327761769295
Nebraska,32.3884417116642
Utah St.,32.29187835752964
Michigan St.,32.18287408351898
Howard,31.94432759284973
Drake,31.745925724506378
Samford,31.332090884447098
Duquesne,30.88253629207611
James Madison,30.094452679157257
College of Charleston,28.71895334124565
Long Beach St.,28.395035326480865
Western Kentucky,28.138433933258057
Vermont,28.093724444508553
Akron,28.069536089897156
Saint Peter's,27.841138392686844
Yale,27.563555657863617
Grambling St.,26.993876069784164
Stetson,26.572349935770035
Longwood,26.44336347281933
Virginia,26.298754319548607
South Dakota St.,26.158864364027977
Oakland,26.011486768722534
Morehead St.,25.899984404444695
Colgate,25.078746557235718
Wagner,23.47631661593914
Montana St.,23.006393879652023
